# name,width_mm,length_mm,height_mm  (front face = width x height or length x height)
kings-crown,251,336,103
codenames,163,233,56
targi,204,204,49
pandemic-1,224,307,46
pandemic-2,224,307,46
expl-kittens,216,309,77
zombie-kittens,113,163,41
bandit,103,154,43
crew-deep-sea,130,180,40
crew-planet-9,130,180,40
dungeon-mayhem,100,129,28
werewolf,114,134,45
sky-team,185,256,52
decrypto,161,231,52
take-5,97,125,23
last-one-drunk,95,157,36
hot-pot-holic,101,152,38
jaipur,131,181,41
stadt-land,116,125,46
resistance,151,202,47
lovecraft,130,181,40
not-enough-mana,126,186,75
just-one,160,230,51
aeons-end,297,297,88
intarsia,297,297,70
captain-sonar,297,297,73
7-wonders,297,297,80
7w-expansions,103,206,52
catan,297,297,113
villainous,267,267,67
azul,261,261,72
wavelength,269,270,76
blood-otc,300,366,90
electropolis,189,274,50
connect-4,248,342,38
heroquest,307,408,98
publish,217,281,55
campus,199,261,78
exit-temple,180,260,57
exit-lighthouse,180,260,57
exit-nightfall,180,260,57
exit-pirates,180,260,57
exit-catacombs,192,276,38
buttons-bugs,79,110,75
flucht-buero,182,224,37
mensa,222,291,41
fox-forest,112,160,32
medical-nyc,175,231,62
medical-miami,175,231,62
chess-for-3,287,562,62
